age,gender,degree,salary,tax
32,male,MBA,8866,518.2
47,female,MA,10188,782.6000000000001
57,male,MBA,13341,1455.25
38,female,None,5862,131.20000000000002
33,male,BA,7297,274.70000000000005
41,male,MBA,9237,592.4000000000001
22,female,MBA,5244,69.4
39,female,MBA,8506,446.20000000000005
45,female,PhD,12346,1214.2
41,female,MBA,8811,507.20000000000005
25,female,PhD,7657,310.70000000000005
52,female,BA,7660,311.0
46,female,MBA,9482,641.4000000000001
36,male,PhD,11800,1105.0
53,male,BA,12131,1171.2
35,female,None,4740,37.199999999999996
40,female,MA,9453,635.6000000000001
24,female,PhD,6664,211.40000000000003
41,female,BA,6486,193.60000000000002
23,male,PhD,9505,646.0
34,male,MBA,9374,619.8
27,male,BA,7198,264.8
52,male,MBA,12338,1212.6000000000001
53,female,MA,10797,904.4000000000001
44,female,PhD,9592,663.4000000000001
23,male,MBA,7314,276.40000000000003
25,female,MBA,5469,91.9
53,male,MA,11318,1008.6000000000001
45,male,BA,8474,439.80000000000007
47,male,None,8294,403.80000000000007
54,female,MA,10531,851.2
52,male,BA,12450,1235.0
40,female,MA,8630,471.0
40,female,PhD,10764,897.8000000000002
38,female,PhD,10104,765.8000000000002
44,male,MA,10715,888.0
38,female,PhD,9684,681.8000000000002
54,male,MA,14124,1651.0
54,male,None,9590,663.0
39,male,MA,10185,782.0
59,male,BA,12495,1244.0
57,female,PhD,11233,991.6000000000001
28,male,None,5880,133.0
23,male,PhD,10165,778.0
32,male,MA,9749,694.8000000000002
35,male,BA,7788,323.8
30,male,MA,9438,632.6000000000001
41,male,MA,10517,848.4000000000001
38,female,MBA,7596,304.6
48,female,PhD,11600,1065.0
35,female,BA,6507,195.7
33,male,MBA,9306,606.2
30,female,None,4950,43.5
32,female,PhD,8272,399.4000000000001
25,male,PhD,9927,730.4000000000001
45,female,MA,9485,642.0
27,female,BA,4878,41.339999999999996
24,female,MBA,5474,92.4
53,male,MA,13670,1537.5
52,male,MA,13138,1404.5
42,male,MBA,10914,927.8000000000002
38,female,BA,7408,285.8
34,male,None,7590,304.0
22,female,None,3292,0.0
53,female,MA,11559,1056.8000000000002
41,female,None,5709,115.9
59,female,MBA,11175,980.0
26,male,PhD,10184,781.8000000000002
41,male,None,7793,324.3
39,female,BA,6117,156.7
26,female,MA,7743,319.3
25,female,None,3915,12.45
59,male,None,11318,1008.6000000000001
31,female,MBA,6090,154.0
44,male,MBA,11056,956.2
26,female,MBA,6240,169.0
50,male,MBA,11836,1112.2
21,female,None,3168,0.0
32,female,None,4344,25.32
55,male,MA,14748,1807.0
42,female,MA,9245,594.0
41,male,None,8591,463.20000000000005
25,male,MBA,7971,342.1
44,female,MA,10794,903.8000000000002
30,female,MBA,6860,231.0
37,female,BA,6999,244.90000000000003
47,male,None,10346,814.2
36,male,BA,9100,565.0
58,female,None,9802,705.4000000000001
43,male,MBA,9396,624.2
24,female,MBA,5788,123.80000000000001
44,female,MA,8802,505.4000000000001
40,female,BA,6802,225.20000000000005
55,female,PhD,13828,1577.0
49,male,None,8480,441.0
57,female,None,7551,300.1
54,male,PhD,14766,1811.5
20,female,MA,6147,159.7
51,female,PhD,10543,853.6000000000001
46,male,PhD,11156,976.2
55,female,MBA,9624,669.8
53,male,PhD,12980,1365.0
25,female,MA,6574,202.40000000000003
39,male,BA,8329,410.80000000000007
36,female,BA,7081,253.10000000000002
23,female,PhD,7309,275.90000000000003
25,male,MA,8519,448.80000000000007
50,male,PhD,13712,1548.0
57,female,None,6848,229.8
39,male,None,7052,250.20000000000005
47,female,BA,7022,247.20000000000005
52,female,None,9272,599.4000000000001
41,male,BA,8570,459.0
48,male,BA,11042,953.4000000000001
48,male,MBA,11622,1069.4
45,female,PhD,11929,1130.8000000000002
24,female,MA,6984,243.40000000000003
55,female,PhD,10984,941.8000000000002
20,female,MBA,4818,39.54
28,female,BA,5231,68.10000000000002
38,male,PhD,11788,1102.6000000000001
24,female,MBA,5304,75.4
40,female,None,6120,157.0
53,male,MBA,12745,1306.25
38,female,MBA,8340,413.0
37,male,MA,10317,808.4000000000001
47,female,MBA,9426,630.2
38,female,MA,8979,540.8
21,male,None,5132,58.20000000000002
51,male,MBA,11117,968.4000000000001
42,male,MBA,9692,683.4000000000001
51,male,None,9030,551.0
46,female,BA,7773,322.3
57,female,MA,12135,1172.0
25,female,None,3990,14.7
24,male,PhD,9636,672.2
20,male,None,5000,45.0
33,female,MA,7335,278.5
47,female,BA,8194,383.80000000000007
52,male,PhD,12808,1322.0
38,male,PhD,11382,1021.4000000000001
57,male,MBA,12953,1358.25
22,male,PhD,9112,567.4000000000001
38,female,MA,9417,628.4000000000001
59,male,PhD,15341,1955.25
53,female,PhD,12950,1357.5
31,male,PhD,9993,743.6000000000001
22,male,PhD,8842,513.4000000000001
35,male,PhD,11572,1059.4
30,female,BA,5668,111.80000000000001
46,female,MBA,7436,288.6
45,male,BA,10265,798.0
47,female,PhD,12719,1299.75
37,female,BA,6959,240.90000000000003
52,male,None,10120,769.0
47,male,BA,10566,858.2
23,male,MA,8819,508.79999999999995
55,male,MA,12091,1163.2
59,female,BA,10083,761.6000000000001
24,male,MBA,7548,299.8
36,male,PhD,11992,1143.4
45,male,PhD,11720,1089.0
47,female,MA,9858,716.6000000000001
21,male,None,5177,62.70000000000002
42,male,None,8476,440.20000000000005
52,female,PhD,12432,1231.4
28,female,MA,6559,200.90000000000003
22,male,None,5302,75.20000000000002
29,female,None,3909,12.27
20,female,BA,4109,18.27
29,female,MA,6849,229.90000000000003
25,female,PhD,8077,360.4000000000001
22,female,PhD,7534,298.40000000000003
46,male,BA,10991,943.2
53,male,MA,11531,1051.2
47,male,BA,10149,774.8000000000002
56,female,None,7428,287.8
32,female,MBA,6596,204.60000000000002
22,female,PhD,6748,219.8
49,female,None,8162,377.4000000000001
22,male,BA,6430,188.0
55,female,BA,7949,339.90000000000003
39,male,BA,8121,369.20000000000005
27,male,PhD,10213,787.6000000000001
52,female,PhD,12792,1318.0
26,female,None,3606,3.1799999999999997
33,male,MA,9851,715.2
27,male,MBA,8017,348.4000000000001
35,male,MA,9602,665.4000000000001
28,male,None,6520,197.0
45,male,MA,12816,1324.0
33,male,BA,8106,366.20000000000005
47,male,MBA,11493,1043.6000000000001
54,male,BA,11271,999.2
38,female,MA,9072,559.4000000000001
22,female,MA,5991,144.10000000000002
55,female,MA,11902,1125.4
50,female,MA,9510,647.0
23,male,MBA,7573,302.3
27,female,MBA,5887,133.70000000000002
43,male,BA,10296,804.2
47,male,PhD,12044,1153.8000000000002
35,female,BA,5461,91.10000000000002
46,male,BA,10059,756.8000000000002
20,male,BA,6030,148.0
32,male,PhD,10264,797.8000000000002
30,female,None,4350,25.5
35,female,BA,5743,119.30000000000001
48,male,BA,10924,929.8000000000002
58,male,PhD,14774,1813.5
25,female,PhD,8321,409.20000000000005
53,male,PhD,14852,1833.0
46,male,None,9628,670.6000000000001
50,female,MBA,10228,790.6000000000001
31,male,None,6947,239.70000000000005
32,female,PhD,7896,334.6
31,female,MA,7601,305.1
52,female,MBA,8452,435.4000000000001
22,male,PhD,10038,752.6000000000001
48,male,MBA,9482,641.4000000000001
27,female,MBA,6261,171.10000000000002
53,male,MBA,12747,1306.75
52,female,None,7800,325.0
58,male,MA,12409,1226.8000000000002
37,female,MBA,7881,333.1
31,female,None,4276,23.279999999999998
25,male,PhD,9182,581.4000000000001
39,male,MA,10702,885.4000000000001
20,male,PhD,9616,668.2
33,female,MBA,7350,280.0
27,male,PhD,9457,636.4000000000001
20,male,BA,5873,132.3
43,female,MBA,8353,415.6
42,female,MBA,8836,512.2
35,male,PhD,11421,1029.2
55,male,BA,12208,1186.6000000000001
29,female,None,4359,25.77
59,female,MA,12441,1233.2
46,male,PhD,11722,1089.4
20,male,MA,7442,289.20000000000005
28,female,MBA,6550,200.0
41,female,MBA,8340,413.0
58,male,None,12410,1227.0
41,male,BA,8312,407.4000000000001
55,female,None,8705,486.0
44,male,MA,11549,1054.8000000000002
41,female,MBA,7763,321.3
40,female,None,6320,177.0
51,male,MBA,11764,1097.8000000000002
53,female,MA,9984,741.8000000000002
55,female,MBA,9319,608.8
25,female,None,3860,10.799999999999999
40,female,MA,9744,693.8000000000002
37,male,BA,8935,532.0
23,male,PhD,8944,533.8
59,female,None,9786,702.2
33,male,PhD,10247,794.4000000000001
22,male,MA,8607,466.4000000000001
27,male,MA,9074,559.8
28,female,MA,6665,211.5
39,female,MBA,8329,410.80000000000007
22,male,MBA,7372,282.20000000000005
48,male,MBA,11924,1129.8000000000002
21,female,PhD,6782,223.20000000000005
54,male,PhD,14712,1798.0
53,male,MA,14270,1687.5
45,female,PhD,10878,920.6000000000001
35,male,PhD,11777,1100.4
29,male,MA,9641,673.2
26,male,MA,9347,614.4000000000001
25,female,MA,6929,237.90000000000003
30,male,MBA,8760,497.0
22,male,MBA,7212,266.20000000000005
56,female,MBA,11424,1029.8000000000002
32,female,None,4236,22.08
38,male,MA,10460,837.0
33,female,MA,8282,401.4000000000001
39,female,PhD,10540,853.0
39,female,MA,8802,505.4000000000001
27,female,PhD,8763,497.60000000000014
49,male,PhD,13305,1446.25
27,female,MA,7340,279.0
33,male,MA,10393,823.6000000000001
32,female,BA,5927,137.70000000000002
36,female,BA,6305,175.5
52,female,None,6264,171.40000000000003
54,female,BA,10520,849.0
59,female,BA,10008,746.6000000000001
33,female,MA,8185,382.0
25,female,PhD,7338,278.8
28,female,MA,7737,318.70000000000005
58,female,MA,11746,1094.2
57,male,MA,15044,1881.0
46,female,PhD,12108,1166.6000000000001
54,female,PhD,10360,817.0
30,female,PhD,8110,367.0
43,female,MA,8915,528.0
24,male,MA,8314,407.80000000000007
35,male,PhD,12052,1155.4
58,male,MA,14770,1812.5
52,male,MA,10811,907.2
44,female,MBA,8270,399.0
35,male,MBA,9222,589.4000000000001
59,female,PhD,12531,1252.75
32,male,MA,9209,586.8
50,female,BA,7018,246.8
32,male,PhD,11408,1026.6000000000001
24,female,None,3724,6.72
20,male,PhD,9316,608.2
32,male,BA,7828,327.8
24,male,MA,8922,529.4000000000001
49,female,None,7698,314.8
51,male,PhD,13250,1432.5
46,male,MA,11006,946.2
45,female,MA,8609,466.80000000000007
32,female,PhD,8088,362.6
50,female,MBA,10328,810.6000000000001
52,female,MBA,10302,805.4000000000001
50,male,None,10700,885.0
27,female,MBA,5896,134.60000000000002
46,male,BA,9200,585.0
55,male,BA,12753,1308.25
30,male,None,6410,186.0
39,female,PhD,8625,470.0
30,female,PhD,7866,331.6
51,female,None,7495,294.5
34,female,MBA,6882,233.20000000000005
20,female,PhD,7648,309.8
55,male,MA,11868,1118.6000000000001
51,male,BA,11967,1138.4
31,male,MA,9656,676.2
40,male,PhD,12100,1165.0
35,female,PhD,8806,506.20000000000005
36,male,None,6760,221.0
52,female,BA,10215,788.0
28,female,BA,5631,108.10000000000002
21,female,None,3143,0.0
23,female,BA,4338,25.14
23,male,MA,8612,467.4000000000001
31,female,MA,7718,316.8
36,male,MBA,9746,694.2
46,female,MBA,8308,406.6
45,male,PhD,12460,1237.0
54,male,MA,11615,1068.0
23,male,PhD,10114,767.8000000000002
